Model,Accuracy,Precision
Random Forest,0.8209408194233687,0.8147230868459773
Logistic Regression,0.8042488619119879,0.8000709088088299
GaussianNB,0.7223065250379362,0.7870308356237449
Decision Tree,0.7792109256449166,0.7760085571852176
XGBClassifier,0.8262518968133535,0.8201227601477001
